Product,Organic,Unit,Label,COO,Sales Order,Invoice #,Invoice Payment Status,Most Recent Invoice Paid Date,Sale Location,Sales Rep,Reqs. Date,Customer,Lot,Vendor,Source,Received Date,Use By Date,Pack Date,Lot Location,Quantity,Cost per Unit,Price per Unit,Total Cost,Total Sold Lot Expenses,Total Revenue,Total Profit $,Total Profit %,Oficina
Bell Pepper Green Med,True,25 Lb Box,Fresh,MX,3655255.0,776.0,Paid,2024-06-05,Nogales Vendor,Diego Ipema,04/22/2024,Pro Organics,627-BEL-1,Agriferg Produce LLC,PO #627,04/24/2024,,,Nogales Vendor,56.0,8.0,2.56,448.0,0.0,143.36,-304.64,-212.5,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,3689455.0,796.0,Paid,2024-05-28,Nogales Vendor,Diego Ipema,04/30/2024,"Grow-All Procurement, LLC.",647-BEL-2,"SL Produce, LLC.",PO #647,05/03/2024,,,Nogales Vendor,52.0,6.5,8.0,338.0,0.0,416.0,78.0,18.75,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,4217921.0,1012.0,Paid,2024-09-25,Frutto Foods Texas LLC,Diego Ipema,09/03/2024,Om Produce,873-BEL-2,"SL Produce, LLC.",PO #873,09/20/2024,,,Frutto Foods Texas LLC,168.0,16.7,19.0,2805.6,0.0,3192.0,386.4,12.11,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,4228484.0,1018.0,Paid,2024-10-09,Frutto Foods Texas LLC,Diego Ipema,09/06/2024,Om Produce,878-BEL-1,Traveler Produce LLC,PO #878,10/08/2024,,,Frutto Foods Texas LLC,168.0,10.0,19.0,1680.0,0.0,3192.0,1512.0,47.37,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,4271373.0,1034.0,Paid,2024-10-09,Frutto Foods Texas LLC,Diego Ipema,09/16/2024,Om Produce,898-BEL-1,"Sweet Seasons, LLC.",PO #898,09/19/2024,,,Frutto Foods Texas LLC,49.0,11.5,13.0,563.5,0.0,637.0,73.5,11.54,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,4305250.0,1048.0,Paid,2024-10-09,Frutto Foods Texas LLC,Diego Ipema,09/24/2024,Om Produce,913-BEL-1,"Sweet Seasons, LLC.",PO #913,09/25/2024,,,Frutto Foods Texas LLC,100.0,13.5,15.0,1350.0,0.0,1500.0,150.0,10.0,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,4315373.0,1053.0,Paid,2024-10-16,Frutto Foods Texas LLC,Diego Ipema,09/26/2024,Om Produce,919-BEL-1,"Fresh Direct, Inc.",PO #919,10/11/2024,,,Frutto Foods Texas LLC,112.0,14.0,15.95,1568.0,0.0,1786.4,218.4,12.23,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,4787998.0,2050.0,Paid,2025-03-03,Nogales Vendor,Diego Ipema,01/23/2025,Midwest Best Produce,10068-BEL-1,"SL Produce, LLC.",PO #10068,01/29/2025,,,Frutto Foods Texas LLC,112.0,4.0,5.0,448.0,0.0,560.0,112.0,20.0,Texas
Bell Pepper Green Sml,False,1 1/9 Bua,Fresh,MX,3486656.0,673.0,Paid,2024-04-08,Nogales Vendor,Diego Ipema,03/12/2024,"Grow-All Procurement, LLC.",511-BEL-1,"SL Produce, LLC.",PO #511,03/14/2024,,,Frutto Foods Texas LLC,112.0,9.0,10.0,1008.0,0.0,1120.0,112.0,10.0,Texas
Bell Pepper Green Sml,False,1 1/9 Bua,Fresh,MX,3503948.0,683.0,Paid,2024-04-10,Nogales Vendor,Diego Ipema,03/16/2024,"All Service Distributors, Ltd",524-BEL-1,"SL Produce, LLC.",PO #524,03/28/2024,,,Nogales Vendor,56.0,9.0,10.0,504.0,0.0,560.0,56.0,10.0,Texas
Bell Pepper Green Sml,False,1 1/9 Bua,Fresh,MX,3688844.0,793.0,Paid,2024-05-28,Nogales Vendor,Diego Ipema,04/30/2024,"Grow-All Procurement, LLC.",644-BEL-1,"SL Produce, LLC.",PO #644,05/03/2024,,,Nogales Vendor,1456.0,2.0,2.5,2912.0,0.0,3640.0,728.0,20.0,Texas
Bell Pepper Green Sml,False,1 1/9 Bua,Fresh,MX,3688897.0,794.0,Paid,2024-05-31,Nogales Vendor,Diego Ipema,04/30/2024,Richard E. Ryan & Associates Ltd.,645-BEL-1,"SL Produce, LLC.",PO #645,05/03/2024,,,Nogales Vendor,728.0,1.5,2.5,1092.0,0.0,1820.0,728.0,40.0,Texas
Bell Pepper Green Sml,False,1 1/9 Bua,Fresh,MX,3689093.0,795.0,Paid,2024-05-28,Nogales Vendor,Diego Ipema,04/30/2024,"Grow-All Procurement, LLC.",646-BEL-1,"SL Produce, LLC.",PO #646,05/03/2024,,,Nogales Vendor,840.0,2.0,2.5,1680.0,0.0,2100.0,420.0,20.0,Texas
Bell Pepper Green Sml,False,1 1/9 Bua,Fresh,MX,3987037.0,930.0,Paid,2024-11-05,Frutto Foods Texas LLC,Diego Ipema,07/10/2024,"Sunterra Produce Traders East, LLC.",779-BEL-1,"SL Produce, LLC.",PO #779,07/11/2024,,,Frutto Foods Texas LLC,112.0,13.0,17.77,1456.0,0.0,1990.24,534.24,26.84,Texas
Bell Pepper Green Sml,False,25 Lb Box,Fresh,MX,3490286.0,676.0,Paid,2024-04-30,Nogales Vendor,Diego Ipema,03/13/2024,"Grow-All Procurement, LLC.",514-BEL-1,"SL Produce, LLC.",PO #514,03/15/2024,,,Frutto Foods Texas LLC,112.0,0.5,1.0,56.0,0.0,112.0,56.0,50.0,Texas
Bell Pepper Green Xlg,True,1 1/9 Bua,Non Sticker,MX,3336351.0,587.0,Paid,2024-03-06,Frutto Foods Texas LLC,Diego Ipema,01/31/2024,Keith Connell Inc.,430-BEL-1,Costa Azul Organica USA Inc,PO #430,02/02/2024,,,Frutto Foods Texas LLC,493.0,14.0,19.0,6902.0,134.7,9367.0,2330.3,24.88,Texas
Bell Pepper Green Xlg,True,1 1/9 Bua,Non Sticker,MX,3345125.0,589.0,Paid,2024-03-18,Frutto Foods Texas LLC,Diego Ipema,02/02/2024,"Veg-Fresh Farms, LLC.",430-BEL-1,Costa Azul Organica USA Inc,PO #430,02/02/2024,,,Frutto Foods Texas LLC,56.0,14.0,20.95,784.0,15.3,1173.2,373.9,31.87,Texas
Bell Pepper Green Xlg,True,1 1/9 Bua,Non Sticker,MX,3352731.0,595.0,Paid,2024-03-11,Frutto Foods Texas LLC,Diego Ipema,02/05/2024,"SL Produce, LLC.",437-BEL-2,Costa Azul Organica USA Inc,PO #437,02/08/2024,,,Frutto Foods Texas LLC,480.0,24.0,28.0,11520.0,0.0,13440.0,1920.0,14.29,Texas
Bell Pepper Green Xlg,False,20 Lb,Fresh,MX,4479192.0,1145.0,Paid,2025-01-15,Frutto Foods Texas LLC,Cristian Valdez,11/05/2024,"Lakeway Foods, LLC.",1019-BEL-2,"Sweet Seasons, LLC.",PO #1019,11/06/2024,,,Frutto Foods Texas LLC,50.0,36.5,40.5,1825.0,0.0,2025.0,200.0,9.88,Texas
